Packet_Size,Source_IP,Destination_IP,Source_Port,Destination_Port
317,144.195.25.197,10.0.0.35,8801,53775
310,10.0.0.35,144.195.25.197,65116,8801
220,144.195.25.197,10.0.0.35,8801,62933
329,144.195.25.197,10.0.0.35,8801,53775
357,144.195.25.197,10.0.0.35,8801,53775
326,10.0.0.35,144.195.25.197,65116,8801
69,144.195.25.197,10.0.0.35,8801,65116
355,144.195.25.197,10.0.0.35,8801,53775
1220,10.0.0.35,144.195.25.197,62933,8801
344,10.0.0.35,144.195.25.197,56626,443
106,144.195.25.197,10.0.0.35,8801,53775
357,144.195.25.197,10.0.0.35,8801,53775
66,144.195.25.197,10.0.0.35,443,56626
116,144.195.25.197,10.0.0.35,443,56626
66,10.0.0.35,144.195.25.197,56626,443
147,10.0.0.35,144.195.25.197,53775,8801
1008,10.0.0.35,144.195.25.197,65116,8801
1007,10.0.0.35,144.195.25.197,65116,8801
1007,10.0.0.35,144.195.25.197,65116,8801
1007,10.0.0.35,144.195.25.197,65116,8801
69,144.195.25.197,10.0.0.35,8801,65116
1007,10.0.0.35,144.195.25.197,65116,8801
346,144.195.25.197,10.0.0.35,8801,53775
342,144.195.25.197,10.0.0.35,8801,53775
69,144.195.25.197,10.0.0.35,8801,65116
1006,10.0.0.35,144.195.25.197,65116,8801
1006,10.0.0.35,144.195.25.197,65116,8801
1006,10.0.0.35,144.195.25.197,65116,8801
1006,10.0.0.35,144.195.25.197,65116,8801
1006,10.0.0.35,144.195.25.197,65116,8801
1006,10.0.0.35,144.195.25.197,65116,8801
342,144.195.25.197,10.0.0.35,8801,53775
348,144.195.25.197,10.0.0.35,8801,53775
778,10.0.0.35,144.195.25.197,62933,8801
771,10.0.0.35,144.195.25.197,62933,8801
69,144.195.25.197,10.0.0.35,8801,65116
1027,10.0.0.35,144.195.25.197,65116,8801
1027,10.0.0.35,144.195.25.197,65116,8801
1027,10.0.0.35,144.195.25.197,65116,8801
1027,10.0.0.35,144.195.25.197,65116,8801
145,10.0.0.35,144.195.25.197,53775,8801
125,144.195.25.197,10.0.0.35,443,56626
66,10.0.0.35,144.195.25.197,56626,443
348,144.195.25.197,10.0.0.35,8801,53775
109,10.0.0.35,144.195.25.197,56626,443
1026,10.0.0.35,144.195.25.197,65116,8801
1026,10.0.0.35,144.195.25.197,65116,8801
1026,10.0.0.35,144.195.25.197,65116,8801
1026,10.0.0.35,144.195.25.197,65116,8801
1026,10.0.0.35,144.195.25.197,65116,8801
1026,10.0.0.35,144.195.25.197,65116,8801
1026,10.0.0.35,144.195.25.197,65116,8801
346,144.195.25.197,10.0.0.35,8801,53775
69,144.195.25.197,10.0.0.35,8801,65116
920,10.0.0.35,144.195.25.197,65116,8801
920,10.0.0.35,144.195.25.197,65116,8801
919,10.0.0.35,144.195.25.197,65116,8801
919,10.0.0.35,144.195.25.197,65116,8801
842,10.0.0.35,144.195.25.197,62933,8801
343,144.195.25.197,10.0.0.35,8801,53775
123,10.0.0.35,144.195.25.197,53775,8801
1082,10.0.0.35,144.195.25.197,65116,8801
1082,10.0.0.35,144.195.25.197,65116,8801
1082,10.0.0.35,144.195.25.197,65116,8801
335,144.195.25.197,10.0.0.35,8801,53775
323,144.195.25.197,10.0.0.35,8801,53775
66,144.195.25.197,10.0.0.35,443,56626
69,144.195.25.197,10.0.0.35,8801,65116
1081,10.0.0.35,144.195.25.197,65116,8801
313,144.195.25.197,10.0.0.35,8801,53775
106,10.0.0.35,144.195.25.197,53775,8801
149,10.0.0.35,144.195.25.197,53775,8801
293,144.195.25.197,10.0.0.35,8801,53775
1031,10.0.0.35,144.195.25.197,65116,8801
1030,10.0.0.35,144.195.25.197,65116,8801
76,144.195.25.197,10.0.0.35,8801,65116
292,144.195.25.197,10.0.0.35,8801,53775
752,10.0.0.35,144.195.25.197,62933,8801
751,10.0.0.35,144.195.25.197,62933,8801
834,10.0.0.35,144.195.25.197,65116,8801
834,10.0.0.35,144.195.25.197,65116,8801
834,10.0.0.35,144.195.25.197,65116,8801
269,144.195.25.197,10.0.0.35,8801,53775
104,10.0.0.35,144.195.25.197,65116,8801
224,144.195.25.197,10.0.0.35,8801,62933
593,10.0.0.35,144.195.25.197,62933,8801
69,144.195.25.197,10.0.0.35,8801,65116
256,144.195.25.197,10.0.0.35,8801,53775
1018,10.0.0.35,144.195.25.197,65116,8801
1010,10.0.0.35,144.195.25.197,65116,8801
1010,10.0.0.35,144.195.25.197,65116,8801
145,10.0.0.35,144.195.25.197,53775,8801
231,144.195.25.197,10.0.0.35,8801,53775
992,10.0.0.35,144.195.25.197,65116,8801
992,10.0.0.35,144.195.25.197,65116,8801
104,10.0.0.35,144.195.25.197,65116,8801
192,144.195.25.197,10.0.0.35,8801,53775
992,10.0.0.35,144.195.25.197,65116,8801
69,144.195.25.197,10.0.0.35,8801,65116
